listing_id,title,url,createdAt,neighbourhood,make,model,year,age,kilometers,mileage_per_year,bodyType,noOfCylinders,horsepower,transmissionType,fuelType,regionalSpecs,exteriorColor,sellerType,city,price,log_price,scraped_at,photo_urls
16871011,Nissan Patrol PRO-4X 2026 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/6/13/nissan-patrol-pro-4x-2026-gcc-specs-3-262---ec43db8fd0d04c21be09a0c5e03d2a06/,,ICAD V,nissan,patrol,2026,0,0,0.0,SUV,6.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,360000,12.793859310432293,,
16896264,"Good Condition- Nissan Altima SV-2018 GCC Spec,Great Condition-Family Used,4 Cylinder-Very Econmical",https://abudhabi.dubizzle.com/motors/used-cars/nissan/altima/2026/7/3/good-condition-nissan-altima-sv-2018-gcc-s-3-833---76d893099668489e8a61475a7218cc54/,,Zone 19,nissan,altima,2018,8,110000,13750.0,Sedan,4.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,20000,9.903487552536127,,
16902731,2024 Land Rover Defender 110 HSE P400 | GCC Specs | Brand New,https://abudhabi.dubizzle.com/motors/used-cars/land-rover/defender/2026/7/8/2024-land-rover-defender-110-hse-p400-gcc--3-614---0eeaec2f8b7444769752106c11512c91/,,ICAD V,land rover,defender,2024,2,73000,36500.0,SUV,6.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,299000,12.608198852372823,,
16880661,2021 Kia Rio LX GCC Specs - Excellent Condition,https://abudhabi.dubizzle.com/motors/used-cars/kia/rio/2026/6/20/2021-kia-rio-lx-gcc-specs-excellent-condit-3-561---08bee5b8e07a4db08261ff121490aaa1/,,Abu Dhabi,kia,rio,2021,5,140000,28000.0,Sedan,4.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,26500,10.184900011974314,,
16908373,Land Rover Defender 110 HSE P400 2025 - Brand New,https://abudhabi.dubizzle.com/motors/used-cars/land-rover/defender/2026/7/13/land-rover-defender-110-hse-p400-2025-bran-3-570---7150a3bdd7ee4e71a8c72c868d1770eb/,,ICAD V,land rover,defender,2025,1,10,10.0,SUV,6.0,,Automatic,Petrol,Other,,Dealer,Abu Dhabi,269000,12.502466658583977,,
16908286,Charger R/T FDSH GCC Specs accident free- V8 5.7L,https://abudhabi.dubizzle.com/motors/used-cars/dodge/charger/2026/7/13/charger-rt-fdsh-gcc-specs-accident-free-v8-3-133---1e521f4781f64f19a1bb1d3f0b695a05/,,Al Samha,dodge,charger,2013,13,217000,16692.31,Sedan,8.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,28000,10.239959789157341,,
16830186,2022 Volkswagen Golf GTI - GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/volkswagen/golf-gti/2026/5/7/2022-volkswagen-golf-gti-gcc-specs-3-656---c2ee183035b8450abd1baa7f40dc468a/,,Mussafah,volkswagen,golf gti,2022,4,60600,15150.0,Hatchback,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,109000,11.59910316121128,,
16890478,Kia Sportage 2011 LX | GCC Specs | Reliable SUV,https://abudhabi.dubizzle.com/motors/used-cars/kia/sportage/2026/6/28/kia-sportage-2011-lx-gcc-specs-reliable-su-3-068---57e3ca12468c4f318b0fb2e6e210f4cd/,,Madinat Al Riyad,kia,sportage,2011,15,328756,21917.07,SUV,4.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,13500,9.51044496442652,,
16907882,Chevrolet Captiva Premier 2025 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/chevrolet/captiva/2026/7/13/chevrolet-captiva-premier-2025-gcc-specs-3-836---e59fac76bd564e52bc809b1a04104013/,,Al Safarat,chevrolet,captiva,2025,1,76000,76000.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,45000,10.714417768752456,,
16845261,Toyota Land Cruiser GXR 2015 | GCC Specs | V6 Engine,https://abudhabi.dubizzle.com/motors/used-cars/toyota/land-cruiser/2026/5/20/toyota-land-cruiser-gxr-2015-gcc-specs-v6--3-583---ed7d04f5d3f1480884e780fd97781048/,,Al Qurm,toyota,land cruiser,2015,11,279000,25363.64,SUV,6.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,96000,11.472103470449973,,
16708664,0% DP | AED 842 / Month | GAC | GS3 EMZOOM 1.5T GB | 2025 | Gargash Warranty | Service History,https://abudhabi.dubizzle.com/motors/used-cars/gac/emzoom/2026/1/16/aed-1108-month-gac-gs3-emzoom-15t-gb-2025--2-978---62f72c782aa44c67b772696534285d2f/,,Yas Island,gac,emzoom,2025,1,19249,19249.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,54900,10.913268627497622,,
16908037,"0% DP | AED 1,455/ Month | GAC | GS8 GX 2.0T 4WD | 2024 | Gargash Warranty | Service History",https://abudhabi.dubizzle.com/motors/used-cars/gac/gs8/2026/7/13/0-dp-aed-1455-month-gac-gs8-gx-20t-4wd-202-3-542---7e2d9bf7ee5249c9b14bf3b5b001e850/,,Yas Island,gac,gs8,2024,2,18290,9145.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,94900,11.460578984598019,,
16908036,0% DP | AED 918/ Month | GAC | EMKOO 1.5T GE | 2025 | Gargash Warranty | Service History,https://abudhabi.dubizzle.com/motors/used-cars/gac/emkoo/2026/7/13/0-dp-aed-918-month-gac-emkoo-15t-ge-2025-g-3-228---26744b5993d24fc58153a54366459220/,,Yas Island,gac,emkoo,2025,1,9896,9896.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,59900,11.00043178410354,,
16908035,0% DP | AED 842/ Month | GAC | Empow 1.5T GL | 2024 | Gargash Warranty | Service History,https://abudhabi.dubizzle.com/motors/used-cars/gac/empow/2026/7/13/0-dp-aed-842-month-gac-empow-15t-gl-2024-g-3-904---57e2451ed11544a4a677a4fd81f8325a/,,Yas Island,gac,empow,2024,2,60359,30179.5,Sedan,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,54900,10.913268627497622,,
16907872,Mazda 6 GL 2009 GCC Specs - Well Maintained,https://abudhabi.dubizzle.com/motors/used-cars/mazda/6/2026/7/13/mazda-6-gl-2009-gcc-specs-well-maintained-3-087---55114018fe9640f9b480f0842263e614/,,Al Shawamekh,mazda,6,2009,17,463000,27235.29,Sedan,4.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,8500,9.047821442478408,,
16850964,man (s) ميني كوبر S  سيرفيس بالوكاله، خليجي موديل 2021 ، صبغة وكالة كامل، وبحالة الوكالة.,https://abudhabi.dubizzle.com/motors/used-cars/mini/cooper/2026/5/25/man-s-s-2021-3-787---d951550a4fb045ec9740841ef7854010/,,Al Khalidiyah,mini,cooper,2021,5,93000,18600.0,Hatchback,4.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,69000,11.141861783579396,,
16800220,2022 Mercedes-Benz GLE 53 AMG Coupe - GCC Specs - Pristine Condition,https://abudhabi.dubizzle.com/motors/used-cars/mercedes-benz/gle-coupe/2026/4/10/2022-mercedes-benz-gle-53-amg-coupe-gcc-sp-3-382---bb9175c39c3b49dca930a911622d44ee/,,Mussafah,mercedes-benz,gle coupe,2022,4,30000,7500.0,SUV,8.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,320000,12.676076274775909,,
16835878,"Chevrolet Blazer RS AWD, 2022 GCC Specs",https://abudhabi.dubizzle.com/motors/used-cars/chevrolet/blazer/2026/5/12/chevrolet-blazer-rs-awd-2022-gcc-specs-3-688---f1dec01197f54d6fb3c618e7b76ea2a0/,,Mussafah,chevrolet,blazer,2022,4,79900,19975.0,SUV,6.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,85000,11.350406535472453,,
16905092,Jeep Grand Cherokee Limited 2014 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/jeep/grand-cherokee/2026/7/10/jeep-grand-cherokee-limited-2014-gcc-specs-3-367---cc69bb4e639d426dbefd5347ffcf6158/,,Mohamed Bin Zayed City,jeep,grand cherokee,2014,12,140000,11666.67,SUV,6.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,23000,10.043249494911286,,
16837174,"0% DP | AED 1,838/ Month | GAC | M8 GT 2.0T | 2025 | Gargash Warranty | Service History",https://abudhabi.dubizzle.com/motors/used-cars/gac/m8/2026/5/13/0-dp-aed-1838-month-gac-m8-gt-20t-2025-gar-2-679---b764943bc60c49279a12af47b8e8b163/,,Yas Island,gac,m8,2025,1,6560,6560.0,Van,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,119900,11.694413341015606,,
16898276,Nissan Patrol 2021 LE Platinum City | GCC Specs | Pristine Condition,https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/7/5/nissan-patrol-2021-le-platinum-city-gcc-sp-3-277---e2580f467e3848f78b7ae04cb81ec6de/,,Al Bateen,nissan,patrol,2021,5,144000,28800.0,SUV,8.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,162000,11.99535161421452,,
16878415,Toyota Fortuner GXR 2017 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/toyota/fortuner/2026/6/19/toyota-fortuner-gxr-2017-gcc-specs-3-414---3203ba70fc8f4f88a73caaa4c5252399/,,Al Qurm,toyota,fortuner,2017,9,163000,18111.11,SUV,4.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,71000,11.170435156023453,,
16901843,Chevrolet Captiva Premier 2025 | GCC Specs | 7-Seater,https://abudhabi.dubizzle.com/motors/used-cars/chevrolet/captiva/2026/7/8/chevrolet-captiva-premier-2025-gcc-specs-7-3-194---0cd13861e0394f528d5a6dc6f53039e8/,,ICAD V,chevrolet,captiva,2025,1,35000,35000.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,57000,10.950806546816688,,
16897359,2024 Honda ZR-V Sports (GCC Specs),https://abudhabi.dubizzle.com/motors/used-cars/honda/zr-v/2026/7/4/2024-honda-zr-v-sports-gcc-specs-3-058---9cd0796787284cdcab52b058e01eedc6/,,ICAD V,honda,zr-v,2024,2,19800,9900.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,89500,11.401993904262946,,
16666202,|| HONDA CIVIC  || 2020 || 109000 KM || GCC,https://abudhabi.dubizzle.com/motors/used-cars/honda/civic/2025/12/10/honda-civic-2020-109000-km-gcc-3-028---923137a3ebef47eb9e5afc426c896848/,,ICAD V,honda,civic,2020,6,109000,18166.67,Sedan,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,47500,10.768484990022733,,
16897355,2025 Nissan Magnite S | GCC Specs | Brand New,https://abudhabi.dubizzle.com/motors/used-cars/nissan/magnite/2026/7/4/2025-nissan-magnite-s-gcc-specs-brand-new-3-099---907f0c9b8e8b40d2952da71f031f5265/,,ICAD V,nissan,magnite,2025,1,0,0.0,SUV,3.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,45000,10.714417768752456,,
16905075,2015 Land Rover Range Rover Sport HSE - GCC Specs - Pristine Condition,https://abudhabi.dubizzle.com/motors/used-cars/land-rover/range-rover-sport/2026/7/10/2015-land-rover-range-rover-sport-hse-gcc--3-412---5bbfa359a1384502808da50dfef5b295/,,Mohamed Bin Zayed City,land rover,range rover sport,2015,11,141000,12818.18,SUV,6.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,41000,10.621327345686446,,
16907374,Nissan Tiida 2012 - Reliable Daily Commuter,https://abudhabi.dubizzle.com/motors/used-cars/nissan/tiida/2026/7/13/nissan-tiida-2012-reliable-daily-commuter-3-699---556b89cc075546c191b100c55ca8c34c/,,Abu Dhabi,nissan,tiida,2012,14,269445,19246.07,Sedan,4.0,,Automatic,Petrol,Other,,Owner,Abu Dhabi,10999,9.305559638557117,,
16871130,Brand New Rox Adamas First-Class 2026 | Chinese Specs | Luxury EREV SUV,https://abudhabi.dubizzle.com/motors/used-cars/rox/adamas/2026/6/13/brand-new-rox-adamas-first-class-2026-chin-3-356---5fba850776a146b8b689e9b60182f2fe/,,ICAD V,rox,adamas,2026,0,0,0.0,SUV,4.0,,Automatic,Hybrid,Chinese,,Dealer,Abu Dhabi,263000,12.479909311159902,,
16907334,AED 766 / month I Warranty Included,https://abudhabi.dubizzle.com/motors/used-cars/mg/zs/2026/7/12/aed-766-month-i-warranty-included-3-710---f450058aac5144a5b6914c9e6dc19098/,,Mussafah Industrial Area,mg,zs,2025,1,41902,41902.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,49940,10.818577563833765,,
16907332,AED 957/ month I Warranty Included,https://abudhabi.dubizzle.com/motors/used-cars/toyota/veloz/2026/7/12/aed-957-month-i-warranty-included-3-148---626f95e3f4f94e16830e807c2d65dc76/,,Mussafah Industrial Area,toyota,veloz,2024,2,83500,41750.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,62426,11.041737134242736,,
16907330,"AED 1,148 / month I Warranty Included",https://abudhabi.dubizzle.com/motors/used-cars/ford/territory/2026/7/12/aed-1148-month-i-warranty-included-3-565---a7dcc0ef4e4341d3a624290f60773b7a/,,Mussafah Industrial Area,ford,territory,2024,2,54268,27134.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,74900,11.22390916950531,,
16759532,AED 813 / month I Warranty Included,https://abudhabi.dubizzle.com/motors/used-cars/nissan/sunny/2026/2/27/aed-813-month-i-warranty-included-3-159---70ad2ac0d6c04293a5756267b3f946a6/,,Mussafah Industrial Area,nissan,sunny,2024,2,50,25.0,Sedan,4.0,,Manual,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,53000,10.87804719253426,,
16666478,"AED 2,331 / month I Warranty Included",https://abudhabi.dubizzle.com/motors/used-cars/nissan/pathfinder/2025/12/10/aed-2499-month-i-warranty-included-3-052---541926713d844252943edabc8a71faf2/,,Mussafah Industrial Area,nissan,pathfinder,2024,2,50,25.0,SUV,6.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,152000,11.931635799828413,,
16816053,"AED 3,143 / month I Warranty Included",https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/4/24/aed-3143-month-i-warranty-included-3-358---6e2c5710ea084ac3ac2798fd4c1c1af1/,,Mussafah Industrial Area,nissan,patrol,2022,4,36331,9082.75,SUV,6.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,205000,12.230765258120545,,
16292248,"AED 1,056 / month I Warranty Included",https://abudhabi.dubizzle.com/motors/used-cars/nissan/kicks/2025/2/24/aed-1196-month-i-warranty-included-3-396---a0f4fca978f142888580ef8630114cf3/,,Mussafah Industrial Area,nissan,kicks,2024,2,50,25.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,68900,11.14041145700175,,
16292369,"AED 2,361 / month I Warranty Included",https://abudhabi.dubizzle.com/motors/used-cars/infiniti/qx50/2025/2/24/aed-2553-month-i-warranty-included-3-052---b66a66496ed14dcbafea1f5746e9ccc2/,,Mussafah Industrial Area,infiniti,qx50,2024,2,0,0.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,154000,11.944707881395766,,
16462104,"AED 1,978/ month I Warranty Included",https://abudhabi.dubizzle.com/motors/used-cars/infiniti/qx55/2025/6/26/aed-2331-month-i-warranty-included-3-016---a41c551eaf634e9dbd9bdbe426a61f16/,,Mussafah Industrial Area,infiniti,qx55,2023,3,20526,6842.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealership/Certified Pre-Owned,Abu Dhabi,129000,11.76756768334381,,
16907198,Mercedes-Benz E-Class E 350 2009 GCC Specs - Well Maintained,https://abudhabi.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2026/7/12/mercedes-benz-e-class-e-350-2009-gcc-specs-3-400---132b3250715148d68a171818b30c6f10/,,Khalifa City,mercedes-benz,e-class,2009,17,159000,9352.94,Sedan,6.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,40000,10.596634733096073,,
16873679,Range Rover Vogue HSE | GCC Specs | Excellent Condition,https://abudhabi.dubizzle.com/motors/used-cars/land-rover/range-rover/2026/6/15/range-rover-vogue-gcc-specs-excellent-cond-12-610---40c96463f4f94ba5a0030fbc42a6065c/,,Al Nahyan,land rover,range rover,2014,12,298000,24833.33,SUV,8.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,49000,10.799575577092764,,
16891332,1705 AED MONTHLY- GCC l WARRANTY l 2.0L TURBO,https://abudhabi.dubizzle.com/motors/used-cars/jetour/t2/2026/6/29/1705-aed-monthly-gcc-l-warrenty-until-augu-3-311---68f19dd235b7490ab5b73e7228fa06a9/,,Mussafah Industrial Area,jetour,t2,2025,1,68000,68000.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,114999,11.652678711655406,,
16834117,Nissan Kicks 2022 GCC Specs - Excellent Condition,https://abudhabi.dubizzle.com/motors/used-cars/nissan/kicks/2026/5/10/nissan-kicks-2022-gcc-specs-excellent-cond-3-545---c018b1a9652d47198e54c71a5ce12319/,,ICAD V,nissan,kicks,2022,4,164000,41000.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,36000,10.491274217438248,,
16888003,Nissan Patrol SE 2014 | GCC Specs | Well Maintained,https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/6/26/nissan-patrol-se-2014-gcc-specs-well-maint-3-108---9fcc691cdab6433782bf83863382e058/,,Al Reem Island,nissan,patrol,2014,12,225000,18750.0,SUV,8.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,50000,10.819778284410283,,
16784660,2024 GMC Acadia AT4 - GCC Specs - Brand New,https://abudhabi.dubizzle.com/motors/used-cars/gmc/acadia/2026/3/27/2024-gmc-acadia-at4-gcc-specs-brand-new-3-276---f50344c96b224928b218bdb208725f4e/,,Al Rehhan,gmc,acadia,2024,2,2200,1100.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,158000,11.970350312009105,,
16906966,"840x24/-Monthly l GCC I Cruise, Camera GPS I Accident Free",https://abudhabi.dubizzle.com/motors/used-cars/kia/sportage/2026/7/12/840x24-monthly-l-gcc-i-cruise-camera-gps-i-3-755---21cb7eec12464d048a0c2034907cb2a9/,,Mussafah Industrial Area,kia,sportage,2016,10,138000,13800.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,23999,10.085767441795337,,
16900650,AED 9420/month | 2024 Land Rover Range Rover  | GCC Specs | Ref#487542,https://abudhabi.dubizzle.com/motors/used-cars/land-rover/range-rover/2026/7/7/aed-9420month-2024-land-rover-range-rover--3-575---5244c1cb2d7e4c3ca905182f1752a92f/,,Mussafah,land rover,range rover,2024,2,6914,3457.0,SUV,8.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,620000,13.337474757021274,,
16906859,Chevrolet Captiva Premier 2025 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/chevrolet/captiva/2026/7/12/chevrolet-captiva-premier-2025-gcc-specs-3-896---4fcb609f9199447ca8b99da4e61fdd5f/,,Al Safarat,chevrolet,captiva,2025,1,21000,21000.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,57000,10.950806546816688,,
16877446,Mitsubishi Lancer GLX 2013 GCC Specs - Reliable  Well Maintained,https://abudhabi.dubizzle.com/motors/used-cars/mitsubishi/lancer/2026/6/18/mitsubishi-lancer-glx-2013-gcc-specs-relia-3-570---9e3e450e2bb849eda8026ab8db35093d/,,Mohamed Bin Zayed City,mitsubishi,lancer,2013,13,185000,14230.77,Sedan,4.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,13500,9.51044496442652,,
16906793,1730- AED MONTHLY- GCC l WARRANTY l 2.0L TURBO,https://abudhabi.dubizzle.com/motors/used-cars/jetour/t2/2026/7/12/1730-aed-monthly-gcc-l-warranty-l-20l-turb-3-784---3fb0733a28294832893e73077b523fd1/,,ICAD V,jetour,t2,2025,1,35000,35000.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,116500,11.665646551987892,,
16906681,2016 Nissan Patrol SE Platinum V8 / SMALL ENGINE / SINGLE LADY OWNER / VERY LOW KILOMETERS,https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/7/12/2016-nissan-patrol-se-platinum-v8-small-en-3-096---93f2ac88e42542f3a98d82b8b96bf3c1/,,Al Qurm,nissan,patrol,2016,10,123000,12300.0,SUV,8.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,68000,11.127262984158243,,
16906662,"430-Monthly l GCC l Sunroof, Leather, Cruise l Accident Free",https://abudhabi.dubizzle.com/motors/used-cars/jac/s3/2026/7/12/430-monthly-l-gcc-l-sunroof-leather-cruise-3-155---93f672de546644a89fdc05eddd27e25b/,,Mussafah Industrial Area,jac,s3,2023,3,66000,22000.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,28999,10.275016625615446,,
16875855,FINAL PRICE! NON-NEGO. GMC Yukon Denali 2008 | American Specs |registered until June 2027,https://abudhabi.dubizzle.com/motors/used-cars/gmc/yukon/2026/6/17/gmc-yukon-denali-2008-american-specs-insur-2-720---65af4fa037bf4d09986741f9c052ecd5/,,Al Bateen,gmc,yukon,2008,18,299000,16611.11,SUV,8.0,,Automatic,Petrol,American,,Owner,Abu Dhabi,14500,9.581903928408666,,
16906541,Nissan Patrol LE Platinum City 2020 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/7/12/nissan-patrol-le-platinum-city-2020-gcc-sp-3-598---9468fa6891cc4daf9816927646bc8ac9/,,Al Khalidiyah,nissan,patrol,2020,6,143000,23833.33,SUV,8.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,143000,11.870599909242044,,
16835985,2023 Bentley Bentayga Azure GCC Specs - Pristine Condition,https://abudhabi.dubizzle.com/motors/used-cars/bentley/bentayga/2026/5/12/2023-bentley-bentayga-azure-gcc-specs-pris-3-776---c88483a641914e16a628ffe197853fc7/,,ICAD V,bentley,bentayga,2023,3,100000,33333.33,SUV,8.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,599000,13.303016877097587,,
16906471,2026 Chevrolet Captiva PHEV Premier GCC Spec - Brand New Luxury 5-Seater,https://abudhabi.dubizzle.com/motors/used-cars/chevrolet/captiva/2026/7/12/2026-chevrolet-captiva-phev-premier-gcc-sp-3-260---0b400ce1fe7345c580aaf7c7a5adeea3/,,Al Safarat,chevrolet,captiva,2026,0,2500,2500.0,SUV,4.0,,Automatic,Plug-in Hybrid,GCC,,Dealer,Abu Dhabi,97000,11.48246625748552,,
